hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.07,0.063,0.0,0.0,0.0
1,0.08,0.072,0.0,0.0,0.0
2,0.07,0.063,0.0,0.0,0.0
3,0.07,0.063,0.0,0.0,0.0
4,0.06,0.054,0.0,0.0,0.0
5,0.07,0.063,0.0,0.0,0.0
6,0.08,0.072,0.0,0.0,0.0
7,0.67,0.607,0.0,0.0,0.0
8,0.33,0.299,0.0,0.0,0.0
9,0.07,0.063,0.0,0.0,0.0
10,0.07,0.063,0.0,0.0,0.0
11,0.08,0.072,0.0,0.0,0.0
12,0.07,0.063,0.0,0.0,0.0
13,0.07,0.063,0.0,0.0,0.0
14,0.08,0.072,0.0,0.0,0.0
15,0.07,0.063,0.0,0.0,0.0
16,0.08,0.072,0.0,0.0,0.0
17,0.07,0.063,0.0,0.0,0.0
18,0.07,0.063,0.0,0.0,0.0
19,0.08,0.072,0.0,0.0,0.0
20,0.07,0.063,0.0,0.0,0.0
21,0.92,0.834,0.0,0.0,0.0
22,0.07,0.063,0.0,0.0,0.0
23,0.07,0.063,0.0,0.0,0.0
